Sensor Code,Sensor Name,Latitude,Longitude,SO2,NO2,CO,O3,PM10,PM2_5
ABREA,Praha 6-Břevnov,50.084385,14.380116,,91.8,,,35.0,
AHOLA,Praha 7-Holešovice,50.108845,14.443650,,,,,64.0,37.0
ACHOA,Praha 4-Chodov,50.030170,14.517450,,48.0,,,47.0,
AKALA,Praha 8-Karlín,50.094238,14.442049,,51.8,,,56.0,
AKOBA,Praha 8-Kobylisy,50.122189,14.467578,,56.0,,10.2,52.0,
ALEGA,Praha 2-Legerova (hot spot),50.072388,14.430673,,67.0,570,,50.0,34.0
ALERA,Letiště Praha,50.107086,14.257226,,43.8,301,28.5,45.0,32.0
ALIBA,Praha 4-Libuš,50.007305,14.445933,,,484,36.1,43.0,34.1
APRUA,Praha 10-Průmyslová,50.062298,14.537820,,78.4,,,88.0,
AREPA,Praha 1-n. Republiky,50.088066,14.429220,,,,,,
ARERA,Praha 5-Řeporyje,50.030514,14.309583,,,,,,
ARIEA,Praha 2-Riegrovy sady,50.081482,14.442692,4.0,54.1,,11.2,52.0,41.0
ASROA,Praha 10-Šrobárova,50.075150,14.472661,,,,,,
ASTOA,Praha 5-Stodůlky,50.046131,14.331413,,,,17.2,37.0,31.0
ASUCA,Praha 6-Suchdol,50.126530,14.384639,,,,9.8,49.0,
AVRSA,Praha 10-Vršovice,50.066429,14.446152,,54.5,,,54.0,
AVYNA,Praha 9-Vysočany,50.111080,14.503096,,56.6,,,101.0,
SBERA,Beroun,49.957928,14.058300,,54.1,438,,58.0,32.0
SKHOA,Kutná Hora-Orebitská,49.950474,15.260361,,59.3,,,37.0,32.0
SKLMA,Kladno-střed města,50.143860,14.101784,,,,42.7,42.0,37.0
SKLSA,Kladno-Švermov,50.167412,14.106048,9.3,62.7,,,48.0,
SKOAA,Kolín SAZ,50.017151,15.206630,,,,,,
SKRPA,Kralupy nad Vltavou-sportoviště,50.251415,14.316583,,,,,,
SMBOA,Mladá Boleslav,50.428646,14.913859,,63.5,,5.4,65.0,43.0
SONRA,Ondřejov,49.913513,14.782625,,,,80.6,,
