SensorID,Latitude,Longitude,Temperature,Pressure,Humidity,PM2_5,PM10
77799,50.426,15.352,18.77,976.8559,91.0,,
74224,49.706,18.216,24.17,,79.34,,
77171,50.02,14.422,20.19,983.7088,81.78,,
67740,50.09,14.42,22.3,989.0631,62.43,,
63903,50.678,13.938,16.73,989.9544000000001,100.0,,
80941,49.53882848133,18.30192446709,18.81,953.5784,97.83,,
77096,50.42740385045,14.24833238046,19.09,991.0125,100.0,,
77235,50.526,14.974,18.17,985.2839,78.77,,
78890,48.964,14.502,16.34,965.8425,100.0,,
71651,49.59794390000,18.00278840000,22.43,975.3338,89.93,,
77406,49.22874549259,16.87556058168,,,,4.28,4.28
56894,50.078,13.704,18.4,965.4847,89.16,,
76178,49.19111570000,16.60357170000,,,,2.0,4.75
81367,50.056,14.398,,,,2.5,3.03
77008,49.23971274259,13.51312994957,,,,0.9,1.0
65276,49.994,14.052,18.82,978.1481,100.0,,
76128,50.102,14.434,18.21,988.0703,81.77,,
77800,50.058,14.454,,,,3.8,10.93
3447,49.5,17.736,,,,14.27,16.33
66693,50.03070230000,14.51126170000,-147.38,622.0538,100.0,,
77383,50.18528778753,15.01785725355,19.38,990.7469,91.39,,
79514,49.59381535000,17.24701768748,,,,3.3,6.17
71641,50.122,14.468,19.66201266498817,977.2582586826604,78.47394522011139,3.431,3.431
78769,49.20760820000,16.58800792179,20.44,979.6003,76.53,,
79178,49.904,16.436,,,,5.72,6.22
79478,49.472,17.97,,,,19.08,31.25
65472,50.71,14.492,23.86,,57.41,,
43115,50.068,14.452,20.63,987.0147000000001,73.48,,
77112,50.226,14.344,17.59,989.3706,100.0,,
66529,50.07765353788,14.44490468482,21.46,983.0331,65.18,,
75895,50.328,15.014,16.26,984.3652999999999,100.0,,
69400,50.01253330000,14.67189370000,17.85,,97.19,,
46876,50.16,14.768,17.38,988.3284,100.0,,
79230,49.122,17.544,27.23,985.9563,56.47,,
76232,50.73322000000,15.16822000000,,,,1.27,1.5
66812,50.12961081597,14.49200749397,,,,4.25,7.78
57276,50.09307550000,14.50837190000,18.64,987.0491000000001,97.78,,
77386,49.68,18.538,20.695,,86.32,26.5,28.5
81225,50.22355521393,14.34489637613,16.35,989.6066000000001,100.0,,
78717,50.042,14.432,18.98,978.2613,88.35,,
77805,49.68537325370,18.35730993751,20.5,970.9881,100.0,,
79792,49.072,17.462,,,,0.3,0.3
47080,49.296,14.47,22.7,964.475,45.56,,
63171,50.18095868383,14.65001374483,,,,3.06,3.6
70219,49.76860130000,18.31600130000,22.5,978.1681,86.71,,
76594,50.24,14.302,20.02,990.6006,68.26,,
66547,50.364,14.874,17.08,980.8580999999999,100.0,,
75681,49.176,16.626,21.36,985.5163,96.04,,
71658,49.59395140000,18.01889470000,20.07,976.8634,100.0,,
78170,49.892,14.49,16.92,967.1763000000001,100.0,,
70358,50.05816560000,14.42501740000,19.36,986.6383999999999,88.61,,
70103,50.034,15.256,20.61,988.2438000000001,100.0,,
79305,49.33950880000,17.99406000000,,,,1.42,1.52
71915,49.994,14.66,23.12,971.7722,56.42,,
60872,50.118,14.462,,,,,
77456,50.13252000000,13.99531250000,15.53,964.0613000000001,100.0,,
7214,50.614,13.83,16.8,,1.0,,
66260,49.46900570000,17.12832070000,,,,2.38,3.53
75916,50.148,14.334,,,,5.43,8.3
77587,49.716,17.158,22.89,984.0656,67.12,,
75716,50.138,14.332,,,,2.93,4.67
65731,49.49413010451,14.67903998493,17.04,951.825,100.0,,
81243,50.074,14.496,17.14,984.7178,87.9,,
70221,49.76424500000,18.34908000000,23.82,980.4472000000001,100.0,,
74466,50.044,15.938,27.39,984.6108,52.7,,
68169,50.206,15.978,18.2,982.5708999999999,100.0,,
77351,50.246,14.32,17.53,990.8203,100.0,,
62344,50.07055159858,14.43329125643,19.86,,79.24,,
73633,50.08,14.418,19.03,989.0916000000001,76.65,,
40203,50.08894587597,14.37757537222,-147.04,628.625,100.0,,
75039,49.992,14.512,17.05,975.6234,74.01,,
82022,49.908,18.356,,,,15.15,25.0
77893,50.094,14.338,30.14,975.0278,36.94,,
82245,50.096,14.458,-142.2,650.485,100.0,,
75945,50.104,14.614,21.28,981.2064999999999,48.31,,
69235,49.69683075008,13.25687491897,16.86,973.704,,,
69911,49.92,17.868,21.14,978.7706,83.24,,
82586,49.66033810976,18.68402659893,21.2,,76.5,,
73738,50.07545049295,14.40562963516,21.05,989.3675,65.47,,
81057,50.084,14.468,17.11,981.9834,85.32,,
81980,49.84205084848,18.29029798506,,,,13.57,18.45
75438,49.392,15.582,-142.6,622.7791000000001,100.0,,
80645,49.71480000000,16.26463130000,,,,5.2,9.67
55767,50.07763760000,14.44487250000,,,,,
77003,50.06,14.288,17.91,967.6008999999999,100.0,,
28714,49.17,14.572,,,,2.35,4.9
70162,49.44358665938,13.24583441019,16.38,968.1684,98.75,,
77259,49.73926995964,13.38989496196,,,,,
76717,49.73927260000,13.38991100000,17.78,974.0,84.72,,
77469,50.272,12.818,17.1,955.9,89.3,,
73429,49.564,17.412,20.45,974.5409,100.0,,
76476,50.078,14.854,20.95,986.3534,,,
82375,50.496,15.798,17.96,951.8888000000001,83.33,,
80747,50.218,14.322,18.54,985.4444,75.66,,
75425,50.632,13.7,15.96,975.0247,100.0,,
65629,50.66131340000,14.03535457078,19.73,994.2681,79.05,,
75959,50.77337901902,15.07538366308,17.1,964.4138,74.13,,
73106,50.476,15.588,16.7,970.7831,95.14,,
82285,50.13907030000,14.42895370000,,,,1.77,5.55
82746,50.004,14.356,20.25,974.7179,71.51,,
70027,50.092,15.804,18.51,982.5397,100.0,,
75788,50.024,14.492,16.29,974.7633999999999,95.59,,
78335,49.742,18.62,20.86,9.7761,87.62,24.7,26.9
47636,50.766,15.338,16.32,945.9984,86.14,,
71889,49.998,14.858,16.75,968.1144,100.0,,
66627,50.422,14.912,17.5,984.0019,100.0,,
79640,49.904,14.39,,,,4.2,5.53
75625,50.03129776446,14.54004317522,20.42,978.0509,73.43,,
71565,50.952,14.502,14.0,9.6633,100.0,,
73016,50.074,14.44,19.0,978.9422,80.03,,
59831,50.108,13.712,18.39,974.7291,92.9,,
43196,49.852,18.282,,,,11.13,11.11
